party,x,y
"Australian.Christians",-54.92558923665624,48.029168204255704
"Australian.Fishing.and.Lifestyle.Party",-43.49472329335077,30.695301464647052
"Animal.Justice",49.16403333145764,38.75824041888123
"Labor",45.68057095725738,50.863669173355866
"Motoring.Enthusiast",-24.59235170440125,-20.180747229832505
"Sex.Party",72.28972476204247,-5.782198217504076
"Building.Australia",-34.77854312498691,-8.477871108541803
"Mutual.Party",-22.347494580997314,-29.41003944302643
"Coalition",-26.70666417594451,51.53921375918004
"Democrats",31.757756218446872,1.577025190600813
"Democratic.Labour",-65.90045052921195,16.579834000789376
"Family.First.Party",-63.70765601034871,35.335529374953964
"Greens",71.4575141120008,38.30831094120768
"Help.End.Marijuana.Prohibition",37.447526684779476,-29.15740356692913
"Katter.s.Australian",-36.1254683229795,14.129235261214362
"Liberal.Democrats",-3.4175670159118954,-63.670808966663074
"Outdoor.Recreation",-30.831877057894474,-70.76870857692279
"Pirate.Party",63.567983028045425,10.980783999697122
"Palmer.United.Party",-19.26781651196083,58.673083235745146
"Republican",16.010625558530936,-56.16739491166548
"Rise.Up.Australia.Party",-83.39355201029878,27.96431942718567
"Socialist.Alliance",74.36182142647125,35.88060542332311
"Shooters.and.Fishers",-55.3819732515289,-15.010254667262007
"Smokers.Rights",-18.364815508230713,-83.11736910963988
"Secular.Party.of.Australia",71.46859689885952,-0.9958797815684464
"X.Sustainable.Population.Party",23.20242456643659,-13.61145269698697
"Sports.Party",-8.004091290948981,-7.921861402239757
"Freedom.and.Prosperity.Party",-58.624920021750576,-22.40177621308391
"Australian.Voice",-24.052516277588083,-1.5723728505421741
"Voluntary.Euthanasia.Party",62.86129953290604,-26.013265162191587
"The.Wikileaks.Party",54.648192847755695,-5.054915970436968
